zhi	tʂ ɻ̍
riong	ɻ iʊ ŋ
ziong	ts iʊ ŋ
ciong	tsʰ iʊ ŋ
siong	s iʊ ŋ
a	a
o	o
e	ɤ
ai	a i
ei	e i
ao	au
ou	 ou
an	a n
en	ə n
ang	a ŋ
ong	ʊ ŋ
eng	ə ŋ
er	a ɚ
i	i
u	u
v	y
yi	i
wu	u
yu	y
ya	∅ ia
ia	∅ ia
yo	∅ iau
io	∅ iau
ye	∅ ie
ie	∅ ie
yai	∅ ia i
iai	∅ ia i
yao	∅ iau
iao	∅ iau
you	∅ i ou
iou	∅ i ou
yan	∅ iɛ n
ian	∅ iɛ n
yin	∅ i n
in	∅ i n
yang	∅ ia ŋ
iang	∅ ia ŋ
ying	∅ i ŋ
ing	∅ i ŋ
wa	w ua
ua	w ua
wo	w uo
uo	w uo
wai	w ua i
uai	w ua i
wei	w ue i
wui	w ue i
ui	w ue i
wan	w ua n
uan	w ua n
wen	w uə n
uen	w uə n
wang	w ua ŋ
uang	w ua ŋ
weng	w uə ŋ
wong	w ʊ ŋ
yue	∅ ye
ue	∅ ye
yve	∅ ye
ve	∅ ye
yuan	∅ yɛ n
van	∅ yɛ n
yun	∅ y n
vn	∅ y n
yong	∅ iʊ ŋ
iong	∅ iʊ ŋ
